Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) - |,lower cost,greater flexibility,more effective learning
# Some of the benefits of a(n) ___________ are that distributors can check inventory, make transactions, and look up the status of their orders significantly reducing the number of phone calls, e-mails, and incorrect product shipments. - |
# In selling directly, manufacturers may encounter a similar problem to that of B2C, namely ___________ with the regular distributors, including corporate dealers. - |channel conflict
# One of the major problems facing direct sellers is ______________. - |how to find buyers
# The Cisco Connection Online (CCO) Web site receives over 2 million hits per month for technical assistance, ordering, order checking, or software downloads. This online service had been so well received that nearly _________ percent of all customer service inquiries and _________ percent of software updates are delivered online. - |85 / 95
# Companies use ____________ to sell their unneeded assets for quick disposal or to easily dispose of excess, obsolete, and returned products. - |forward auctions
# Benefits of using a third-party hosting company for conducting B2B auctions instead of developing an auction site in-house include all of the following EXCEPT: - |Time-to-market of several weeks.
# A company-based acquisition site that uses e-procurement methods such as reverse auctions, negotiations, or group purchasing, to overcome the manual searching of e-stores and e-malls is referred to as a(n): - |buy-side e-marketplace
# Benefits of e-procurement over traditional procurement methods include all of the following EXCEPT: - |Increasing the skill requirements and training needs of purchasing agents.
# Major implementation challenges that companies must consider when planning e-procurement initiatives include all of the following EXCEPT: - |Increasing the number of regular suppliers and integrating with their information systems and possibly with their business processes.
# Because conducting reverse auctions in B2B can be a fairly complex process, a(n) ________ may be essential. - |third-party intermediary
# The aggregation of suppliers' catalogs on the buyer's server to make it easier to centralize and control all procurement is called a(n): - |internal procurement marketplace
# In general, the benefits of contract-management software include all of the following EXCEPT: - |Reduces contract-related risks.
# Software that helps integrate different types of information systems among collaborating companies is called: - |middleware.
# Collaborative workflow applications: - |address project-oriented and collaborative processes.
# Software applications that address project management concerns are examples of: - |collaborations workflow applications.
# The steps required to approve an expense report is an example of: - |administrative workflow applications
# When large suppliers or buyers are involved, a workflow system: - |is needed for both the collaborative efforts and for supply chain and production
# Corporations are moving their phone systems to - |VoIP
# The primary benefits of workflow management systems include all of the following EXCEPT: - |increased data security.
# means that the communication and collaboration are done in real - |Synchronous
# Group ware is appropriate in all of the following situations EXCEPT: - |for people working on different tasks or projects
# The purpose of CPFR is to: - |ensure that members of the supply chain will have the right amount of raw
# All of the following are types of communication and collaboration done in real time EXCEPT: - |blogging
# The growth in electronic meeting systems has been driven by all of the following EXCEPT: - |Shorter cycle times.
# All of the following apply to instant video EXCEPT: - |The highest quality approach is to add video cameras to the participants' computers.
# All of the following are examples of e-government EXCEPT: - |a company sells army and navy surplus supplies at auction over the Internet.
# The exclusively online publication of Stephen King's e-book Riding the Bullet in March 2000: - |as disrupted by hackers who breached security, then distributed free copies of the book
# The tasks if KM include each of the following EXCEPT: - |restricting knowledge access to prevent its transfer between individuals <393>
# Risks in corporate blogging include all of the following EXCEPT: - |the risk of disciplinary action against abusive bloggers
# An example of G2C is: - |a driver applies for and pays for the renewal of his auto tag online.
# are a popular online publishing technology for creating a Web page that - |Wikis
# A type of e-book referred to as the is a truly multimedia, online-only book that has hyperlinks, three-dimensional text and display, graphics, audio, and video. It supports non linear exploration of topics - |rubics-cube hyperlink book
# Chaplin reports quarterly sales revenue from his business to city hall over the Internet. He pays his local business tax with a credit card. This is an example of: - |G2B e-commerce
# A podcast is distinguished from other digital audio formats by: - |its ability to be downloaded automatically, using software capable of reading feed formats such as RSS
# A government agency uses an online reverse auction to satisfy the tendering system requirements specified by law. This is an example of: - |e-Procurement
# Government-to-employee applications can lead to significant efficiency improvements for all of the reasons EXCEPT: - |Most government employees use handheld digital devices.
# Which of the following is an example of edutainment? - |an online game that uses colorful characters to teach young children about
# One of the most important issues in implementing e-government is: - |its adoption and usage by citizens.
# All of the following are advantages of e-learning EXCEPT: - |college professors are anxious to develop new online courses.
# All of the following are problems in implementing e-Government EXCEPT: - |the technology needed to implement stage 6 of the Deloitte transformation process does not exist yet
# All of the following are potential drawbacks of e-learning EXCEPT: - |knowledge retention is lower than in traditional classrooms.
# Most universities use e-learning: - |as a supplementary channel to traditional classrooms.
# Knowledge is of limited value if: - |it is not shared
# Knowledge generated in e-business contributes to the enhancement of three core operating process, which include all of the following EXCEPT: - |project management
# The business forces that are driving the transition from traditional education to online learning are all of the following EXCEPT: - |limited supply of faculty with specialized expertise.
# One of the facilitators of e-learning is technology such as wikipedia.org. - |Web 2.0
# More and more people are willing to pay for digital music, as shown by the success of . - |c. Apple's iTunes
# is the electronic delivery of newspapers, magazines, books, videos,music, and other digitizable information over the Internet. - |Online publishing
# is commonly used to broadcast public lectures and e-seminars, promote the work of new or unknown musicians, and broadcast international entertainment activities - |Webcasting
# The primary advantage that e-books offer publishers is: - |lower production, marketing, and delivery costs.
# Which of the following statements about blogs is not true? - |Blogs are limited to one-way communication.
# A major purpose of an organizational knowledge base is to support and allow . - |knowledge sharing
# involves using various computer-based tools and techniques to analyze transaction data and generate new ideas. - |Knowledge creation
# Customer-to-customer (C2C) e-commerce is conducted in various ways on the Internet,but the best-known C2C activities are: - |C2C auctions
# P2P systems have all of the following key characteristics EXCEPT: - |The overall system is well integrated, but lacks tools for easy creation of content or for adding functionalities.
# M-commerce transactions and activities require and - |hardware and software infrastructures; infrastructure support
# Infrastructures that support the wireless connection are:network access points, mobile communications server switches, and cellular transmitters and receivers. - |
# Components of a wireless infrastructure that support delivery of services over a wireless connection are: - |WAP gateways, GPS locators, and GPS satellites.
# Characteristics of mobile devices that create special requirements that hardware and software designers need to anticipate when designing mobile computing systems include all of the following EXCEPT: - |broad bandwidth
# The exchange of updated information with other computing devices is called: - |synchronization
# A suite of network protocols designed to enable different kinds of wireless devices is called: - |Wireless Application Protocol.
# The application logic in a handheld PDA, smart phone, Palm or Wintel notebook is called: - |a mobile application user interface.
# enables the determination of the location of an enabled device. - |GPS
# Rick sends a message from a delayed flight to his friend on her cell phone that he will be arriving late. The service that allows the sending and receiving of such short text messages on mobile phones is called: - |SMS
# Micropayments are electronic payments: - |c. that are less than $10.00.
# Infrastructures that sua. pport the wireless connection are: - |a. network access points, mobile communications server switches, and cellular transmitters and receivers.
# The IEEE standard offers bandwidth transfer rates of 200 to 540 Mbps, which makes it impractical because it exceeds the limits of most broadband connections used by homes and small businesses - |802.11n
# Most WLANs run on a telecommunications standard known as , which is more commonly called . - |IEEE 802.11; Wi-Fi
# A is suitable for mobile users who need to make very short-range device-to-device wireless connections within a small space, such as a single room, and most commonly with Bluetooth. - |personal area network
# All of the following about wireless wide area networks (WWAN) are true EXCEPT: - |The single WWAN network standard insures compatibility of handsets within and between countries.
# The major attributes that enable development of new applications that are possible only in a mobile environment include all of the following EXCEPT: - |Security
# As in e-commerce, m-commerce B2C applications are concentrated in each of the following areas EXCEPT: - |c. telecommunications
# Mobile access supports the two functions of sales force mobilization and field service, which extends the reach of to both employees and business partners on a 24/7 basis to any place where recipients are located. - |customer relationship management <442>
# One way to share information with supply chain partners is wireless , which is the science of measuring physical phenomena such as temperature, volume, or an on/off condition at a remote point and transmitting the value to a distant recorder or observer. - |telemetry
# The development of m-commerce is being driven by the following technological, business, social, and economic factors EXCEPT: - |The transition to a manufacturing economy.
# One initiative underway that could lead to widespread support for the introduction of RFID is the , which identifies the manufacturer, producer, version, and serial number of - |Electronic Product Code
# The major enterprise mobile applications are all of the following EXCEPT: - |research and development
# By enabling sales force employees to record orders in real time, the organization benefits through each of the following EXCEPT: - |more extensive collaboration and sharing of customer leads.
# refers to the integration of computers and wireless communications in order to improve information flow - |telematics
# All of the following about RFID are true EXCEPT: - |an RFID tag can hold 20 times the amount of information a bar code can hold..100 feet
# All of the following are barriers to location-based m-commerce EXCEPT: - |There are presently not enough location-based systems to make this a viable technology.
# The services provided through location-based m-commerce focus on key factors which include all of the following EXCEPT: - |Geocaching, or determining the topography of an area.
# You are walking near a coffee shop and suddenly your cell phone beeps with a message: "Come inside and get a free biscotti with any purchase." This is an example of: - |location-based advertising
# Many experts believe that the next major step in the evolution of computing will be _____________ in which almost every object will have processing power and a wired or wireless connection to a network. - |pervasive computing
# Auctions are all of the following EXCEPT: - |They are suitable for most consumer goods.
# Dynamic pricing refers to : - |prices that are determined by market forces.
# The process of building auction applications is complex for all of the following reasons EXCEPT: - |auctions must provide payment systems
# Two purposes of a types of auctions are liquidation and market efficiency - |one seller, many potential buyers
# The auction model is popular in B2B. - |one-buyer, one-seller
# Reverse auctions are a type of auctions. - |one buyer, many potential sellers
# The "name-your own-price" model pioneered by Priceline.com is a type of auction. - |one buyer, many potential sellers
# Auctions done in exchanges or double auctions are auctions. - |many buyers, many sellers
# Jackie uses a software system to place bids automatically on her behalf until her predetermined maximum price is reached. The software bids in such a way as to minimize the final bid. This is referred to as: - |proxy bidding
# Bidders sometimes use phantom bidders to drive bid prices up rapidly at the beginning of an auction, thus discouraging bidding from legitimate bidders. At the last minute, the phantom bidders pull out, which awards the item to a very low bidding customer. This practice is called: - |bid shielding
# A(n) takes place between sellers and buyers in one industry or for one commodity, such as flowers, cars, or cattle. - |vertical auction
# All of the following are potential benefits from auctions to sellers EXCEPT: - |sellers are always anonymous.
# In electronic auctions, near-perfect market information is available about prices, products, current supply and demand, and so on. This feature provides benefits to . - |buyers and sellers
# Benefits of electronics auctions (e-auctions) to sellers include all of the following EXCEPT: - |Anonymity
# refers to the tendency of customers to stay at Web sites longer and - |Stickiness
# Research has shown that e-commerce sites that use an auction model tend to: - |reach critical mass more quickly than catalog-order-based.
# the limitations of mobile auctions are all of the following EXCEPT: - |Internet cell phones are less private than a PC <498: more private>
# The practice by sellers of having associates place fake bids in an auction as a way to drive up the selling price is called: - |shilling.
# The first step in the auction process is: - |searching and comparing.
# Compared to competitive markets, auction prices are often when there are multiple bidders. - |higher
# Compared to competitive markets, auction prices are often when there are very few bidders. - |lower
# Many auction sites are implementing because of the significant increase in the number of users who browse the Internet wirelessly. - |m-commerce applications
# The most serious disadvantage of e-auctions is: - |the risk of fraud.
# Each of the following is true about auction rules EXCEPT: - |rules eliminate conflicts with existing distributors and distribution
# A major shortcoming with authentication services is: - |two different authenticators may come up with different opinions regarding the authenticity and description of a given item.
# John wants to know if the first edition novel he just purchased through an e-auction is actually a first edition. The auction host helps him locate an expert that will him whether the novel is a genuine first edition or a fake. This is an example of: - |authentication
# Many companies use intermediaries or trading assistants instead of implementing e-auctions themselves for each of the following reasons EXCEPT: - |To avoid tax and legal fees.
# Each of the following is one of the three major categories of auction rules EXCEPT: - |timing rules
# The incidence of online fraud and identify theft has increased for each of the following reasons except: - |New effective phishing scams and schemes being carried out by computer experts.
# Cyber cons have a negative effect on EC because - |defending against these cons and compensating for damages significantly increase the costs of EC.
# The key reasons why EC criminals cannot be stopped include each of the following except: - |Sophisticated hackers use browsers to crack into Web sites.
# It is currently known that if a front-end application such as a Web site is effectively secured, then - |the data itself may not be secure because the application may not function as planned.
# A vulnerability - |is a weakness in software or other mechanisms that a hacker can use directly to gain access to a system or network.
# The underlying reasons why a comprehensive EC security strategy is needed include all of the following except: - |Managers treating EC security as a process.
# The protection of information systems against unauthorized access to or modification of information that is stored, processed, or being sent over a network is referred to as . - |Information assurance.
# The success and security of EC depends on the of information and the business Web site. - |confidentiality, integrity, and availability
# The basic security concepts relating to customers and other users are: - |authentication, authorization, and nonrepudiation.
# Digital signatures or digital certificates: - |a and b
# The most cost-effective approach to EC security is to develop and implement a strategy that - |proactively meets regulatory, financial, marketing and operational requirements.
# To be effective, an acceptable use policy (AUP) needs - |to inform all users of their responsibilities when using company networks, computer equipment, wireless devices, and customer data.
# Which of the following statements about hardware and software security defenses is false? - |Hardware and software security defenses protect against irresponsible business practices or corrupt management.
# Social engineering attacks are: - |take advantage of Web 2.0 applications like social networking sites, blogs, wikis and RSS feeds.
# A technique known as web page hijacking - |enables a malicious Web master to displace the pages of an EC Web site in the Search Engine Results Pages (SERPS) to redirect customers to another site.
# A botnet is: - |a coordinated network of computers that can scan for and compromise other computers and launch DOS attacks.
# Public key infrastructure (PKI) is an authentication method - |that has become the cornerstone for secure e-payments and intranet applications.
# Access to a network ought to be based on: - |the policy of least privilege where access to network resources are blocked and permitted only when needed to conduct business.
# Which of the following does not correctly describe what firewalls protect against? - |Macros are the electronic equivalent of junk mail.
# Firewalls that filter requests from the Internet to a private network based on the IP address of the computer sending or receiving those requests are called: - |packet-filtering routers.
# All of the following are important security functions of proxy servers except: - |They improve network performance.
# The advantages of virtual private networks (VPN) for data communications include all of the following except: - |They ensure the confidentiality and integrity of the data transmitted over the Internet without requiring encyption.
# A host-based intrusion detection system (IDS): - |Resides on the server that is being monitored where it can detect whether critical or security-related files have been tampered with or whether a user has attempted to access files that he or she is not authorized to use.
# Factors that come into play in determining whether a particular method of e-payment achieves critical mass include all of the following EXCEPT: - |full traceability of the buyers.
# A card that draws the payment amount directly from the user's checking account is called a(n): - |debit card
# The process of determining whether a card is active and whether the customer has sufficient funds for the purchase is called: - |authorization.
# The transfer of money from the buyer's to the seller's account is called: - |settlement.
# are financial institutions that provides a customer with a payment card. - |Issuing banks
# provide connectivity among merchants, customers, and financial networks enabling authorization and payments is called the: - |Payment processing services
# Each of the following are ways to pay bills over the Internet EXCEPT: - |customer service provider.
# From the perspective of the billing firm, all of the following are advantages of e-billing EXCEPT: - |universal availability.
# From the perspective of the customer, all of the following are advantages of e-billing EXCEPT: - |greater security than other types of payments.
# Characteristics of 13213 payments include all of the following EXCEPT: - |They require less rigor and security than 132C payments.|They require less rigor and security than 132C payments.
# B2B payments are part of a much larger financial supply chain that includes all of the following EXCEPT: - |financial reporting.
# In financial supply chain management, the goal is to optimize all of the following EXCEPT: - |the physical supply chain
# Unlike the physical supply chain, characterize the financial supply chains of most companies. - |inefficiencies
# The vast majority of B2B payments are: - |still made by paper check.
# The process by which companies present invoices and make payments to one another through the Internet is known as: - |enterprise invoice presentment and payment.
# For many firms, presentment and payment processes are all of the following EXCEPT: - |secure.
# The implementation of most EC applications requires the use of all of the following support services EXCEPT: - |manufacturing
# Most EC applications are based on that begin with an order, frequently a order. - |pull operations; customized
# Packing, delivery, accounting and logistics are examples of: - |back-office operations.
# Customer-facing activities or are activities, such as advertising and order taking, that are visible to customers. - |front-office operations.
# The Council of Supply Chain Management Professionals defines as "the process of planning, implementing, and controlling the efficient and effective flow and storage of goods, services, and related information from point of origin to point of consumption for the purpose of conforming to customer requirements." - |logistics.
# A typical EC fulfillment process involves all of the following activities EXCEPT: - |Just-in-time inventory management.
# The administrative activities of order taking and fulfillment involve all of the following activities EXCEPT: - |accounts payable.
# The major difference between e-logistics and traditional logistics is: - |traditional logistics deals with movement of large amounts of materials to a few destinations.
# The inability to deliver products on time is a typical problem: - |in both off-line and e-commerce.
# are a major source of uncertainty in supply chains. - |Demand forecasts
# Solutions to problems in the supply chain for EC companies are: - |generic across both EC and traditional companies.
# Automated warehouses for 132C companies are designed: - |to facilitate the delivery of small quantities of product to a very large number of customers.
# The second most often cited reason for customers not buying on the Web is: - |the lack of a good return mechanism.
# recognizes that are the core of a business and that a company's success depends on effectively managing its relationships with them. - |Customer relationship management; customers
# Data analytics are a valuable tool because it can provide all of the following EXCEPT: - |financial reporting
# For companies, it may be even more important to change strategies quickly. - |pure play
# Capabilities of the Internet that have made it more difficult for companies to capture profits include all of the following EXCEPT: - |The Internet makes it easier to make secure payments.
# Projections of the business technological, political, economic, and other environmentsare called: - |forecasts.
# All of the following are elements of a company's strategy EXCEPT: - |day-to-day operations.
# All of the following about the strategic planning process are true EXCEPT: - |The strategic planning process begins with strategy formulation.
# A specific outcome of the strategy initiation phase is the , which includes the vision, mission, value proposition, goals, capabilities, constraints, strengths, and weaknesses of the company. - |company analysis
# Google's is its expertise in information search technology. - |core competency
# is the process of making the selected applications and projects a reality by hiring staff; purchasing equipment; licensing, purchasing, or writing software; and contracting vendors. - |Project management
# An analytical tool in which a company looks for points of differentiation between competitors and itself is called: - |competitor analysis grid
# is the continuous evaluation of progress toward the organization's strategic goals, resulting in corrective action and, if necessary, strategy reformulation. - |strategy assessment
# All of the following are situations when a business plan should be done EXCEPT: - |When an existing business is deploying a CRM system.
# Which of the following about business plans and business cases is NOT correct? - |The audiences are the same—senior management and the board or directors.
# The most efficient way to expand an organization's scope is: - |to introduce new products or services into new or existing markets without increasing production facilities or staff.
# Separating a company's online operations into a new company makes sense in each of the following situations EXCEPT: - |when the company is unable to form new alliances, attract new talent, or raise additional funding.
# The most dangerous risk to a company engaged in e-commerce is: - |business risk.
# All of the following determine the degree of collaboration between off-line and online - |the pricing strategy.
# Internet technologies can provide consumers with easier access to pricing information, which increases their bargaining power. To remain competitive and profitable, sellers need smarter pricing strategies, which include all of the following strategies EXCEPT: - |reducing prices.
# A is a form of business alliance composed of several business partners that share the costs and resources for the development or production of a product or service. - |virtual corporation
# The most important objectives of strategic assessment are all of the following EXCEPT: - |Identify what competitors are doing to avoid head-on competition.
# To defend against unethical and illegal business tactics that exploit EC operations, Google, MSN Search, and Yahoo have turned to all of the following aggressive measures except: - |Implemented honeypots.
# Having control over the collection, storage, and dissemination of personal information is included in the category of: - |privacy
# A decision by a judge that may be used as a standard in similar cases that follow is referred to as: - |legal precedent
# Critics of political spam are against its use because they believe that: - |all spam is a nuisance, clogs mail servers, and creates security risks
# Due process is - |a guarantee of basic fairness and fair procedures in legal action.
# Property rights relevant to e-commerce include all of the following EXCEPT: - |The right to bring criminal charges against a violator.
# Intellectual property law is the area of law that is associated with each of the following EXCEPT: - |business contracts.
# Which of the following is true about copyrights? - |The entertainment industry, led primarily by the Motion Picture Association of America (MPAA) and RIAA, is trying technical solutions via the legal system to protect its interests.
# Each of the following statements about digital rights management (DRM) is true EXCEPT: - |DRM technologies were developed with strict regard for privacy protection.
# Which of the following is true about the scope of business ethics? - |The scope of business ethics has expanded to encompass the nature and quality of the relationships with shareholders, customers, business partners, suppliers, the community, environment, and future generations.
# Which of the following statements about the rights to privacy andfree speech is not correct? - |The Internet has destroyed the right to privacy.
# All of the following are ways to use the Internet to find information about an individual EXCEPT: - |Stealing the individual's computer.
# A domain name is: - |intangible property protected by law
# The least effective method to protect against pop-up ads and their risk is: - |Minimizing the pop-up window.
# All of the following statements apply to hate Web sites EXCEPT: - |The intent of most hate Web sites is to commit fraud.
# A legally binding contract requires a few basic elements. Which of the following is not one of those elements? - |agreement
# Examples of electronic signatures to help distinguish between legitimate and fraud transactions include all of the following EXCEPT: - |a Web site development agreement
#_____________ are a popular online publishing technology for creating a Web page that can be edited by anyone with a standard Web browser - |Wikis
#All of the following are examples of e-government EXCEPT: - |a company sells army and navy surplus supplies at auction over the Internet.
#An example of G2C is: - |a driver applies for and pays for the renewal of his auto tag online.
#Chaplin reports quarterly sales revenue from his business to city hall over the Internet. He pays his local business tax with a credit card. This is an example of: - |G2B e-commerce
#A government agency uses an online reverse auction to satisfy the tendering system requirements specified by law. This is an example of: - |e-Procurement
#Government-to-employee applications can lead to significant efficiency improvements for all of the reasons EXCEPT: - |Most government employees use handheld digital devices.
#All of the following are problems in implementing e-Government EXCEPT: - |the technology needed to implement stage 6 of the Deloitte transformation process does not exist yet.
#One of the most important issues in implementing e-government is: - |its adoption and usage by citizens.
#All of the following are advantages of e-learning EXCEPT: - |college professors are anxious to develop new online courses.
#All of the following are potential drawbacks of e-learning EXCEPT: - |knowledge retention is lower than in traditional classrooms.
#The business forces that are driving the transition from traditional education to online learning are all of the following EXCEPT: - |limited supply of faculty with specialized expertise.
#Which of the following is an example of edutainment? - |An online game that uses colorful characters to teach young children about numbers
#One of the facilitators of e-learning is ___________ technology such as wikipedia.org. - |Web 2.0
#____________ is the electronic delivery of newspapers, magazines, books, videos, music, and other digitizable information over the Internet. - |Online publishing
#ore and more people are willing to pay for digital music, as shown by the success of ________ - |Apple's iTunes
#___________ is commonly used to broadcast public lectures and e-seminars, promote the work of new or unknown musicians, and broadcast international entertainment activities - |Webcasting
#A podcast is distinguished from other digital audio formats by: - |its ability to be downloaded automatically, using software capable of reading feed formats such as RSS
#The exclusively online publication of Stephen King's e-book Riding the Bullet in March 2000 - |as disrupted by hackers who breached security, then distributed free copies of the book.
#A type of e-book referred to as the ____________ is a truly multimedia, online-only book that has hyperlinks, three-dimensional text and display, graphics, audio, and video. It supports nonlinear exploration of topics - |Rubics-cube hyperlink book
#The primary advantage that e-books offer publishers is: - |lower production, marketing, and delivery costs.
#Which of the following statements about blogs is not true? - |Blogs are limited to one-way communication
#Risks in corporate blogging include all of the following EXCEPT: - |the risk of disciplinary action against abusive bloggers.
#A major purpose of an organizational knowledge base is to support and allow ___________ - |knowledge sharing
#The tasks of KM include each of the following EXCEPT - |restricting knowledge access to prevent its transfer between individuals.
#Knowledge is of limited value if: - |it is not shared
#______________ involves using various computer-based tools and techniques to analyze transaction data and generate new ideas - |Knowledge creation
#Knowledge generated in e-business contributes to the enhancement of three core operating processes, which include all of the following EXCEPT - |project management
#ustomer-to-customer (C2C) e-commerce is conducted in various ways on the Internet, but the best-known C2C activities are: - |C2C auctions\
#P2P systems have all of the following key characteristics EXCEPT: - |The overall system is well integrated, but lacks tools for easy creation of content or for adding functionalities.
#Before the Internet, the trading process for raw and partially processed chemicals, plastics, and fuel oil was each of the following EXCEPT - |disintermediated
#ChemConnect is an example of a successful e-exchange with - |many buyers and many sellers.
#A third party that operates an exchange and in many cases, also owns the exchange is known as a(n) - |market maker
#In the context of EC, ____________ are electronic trading-community meeting places for many sellers and many buyers, and possibly for other business partners - |exchanges
#From 2001 to 2006, a majority of e-exchanges: - |folded due to a lack of customers, cash, or both.
#An exchange whose members are in one industry or industry segment and that trades only in materials/services unique for that industry is referred to as a(n): - |vertical exchange
#An exchange that handles materials used by companies in different industries is referred to as a(n) - |horizontal exchange
#Light bulbs and office supplies might be purchased in a(n) _________________ by both an automaker and a steelmaker. - |horizontal exchange
#In _______________, the prices are usually dynamic and are based on changes in supply and demand. - |spot sourcing
#In _________, the prices are usually negotiated or fixed. - |strategic sourcing
#Spot sourcing of direct materials takes place: - |in vertical exchanges
#In spot-sourcing, prices are: - |dynamic and set based on supply and demand.
#In an exchange where plastic components are bought and sold, the market maker collects money from the buyer, and releases it to the seller once successful delivery is completed. This is an example of: - |transaction facilitation.
#In an exchange where plastic components are bought and sold, the market maker purchases a new server that will be used to conduct auctions. This is an example of: - |maintaining exchange infrastructure.
#A market maker evaluates an exchange between a buyer in the United States and a seller in Spain to ensure that import laws for the U.S. are followed. This is an example of the market maker: - |maintaining exchange policies and infrastructure
#In the consortia model: - |several industry players come together to establish the exchange for the benefit of all.
#The exchange model in which a third party sets up the exchange and promises to run it efficiently and without bias is called the: - |neutral entrepreneur model.
#An exchange charges an annual fee of $25,000 for all parties who want to trade in the exchange. The revenue model in use by this exchange is the: - |membership fee model.
#A market maker charges a percentage on every buy and sell made in the exchange. The revenue model in place in this exchange is the: - |transaction fee model.
#A market maker bills a buyer for reviewing several seller contracts and making a recommendation on what to buy and from whom. The revenue model being used in this example is the: - |fee for service model
#All of the following are potential sources of revenue for an exchange EXCEPT: - |shipping and handling fees.
#When membership fees are the basis for revenue generation in an e-exchange, it has been shown that: - |low membership fees often result in losses to the exchange,; however, high fees discourage participation.
#The concept of liquidity for a B2B exchange is the: - |number of buyers and sellers in a market.
#The exchange model in which RFQs are aggregated then linked to a pool of suppliers who are notified automatically of the RFQ is the ______________ model. - |buyer aggregation
#Markets in which several large sellers sell to a large number of buyers are called: - |seller-concentrated markets.
#Attracting large business sellers to public exchanges is often difficult for all of the following reasons EXCEPT: - |advertising costs in public exchanges are very expensive.
#In dealing with exchange members, the management of the exchange should: - |make certain that the exchange is neutral in its dealings with all members.
#The most attractive industries for a vertical exchange are characterized by: - |many fragmented buyers and sellers
#Brand building is important in B2B exchanges because: - |it is easy for exchange members to change to another exchange.
#Using tunneling technology to improve security of communication over the Internet is called: - |virtual private network (VPN)
#A company's internal operations and its relationships with suppliers and other business partners are frequently: - |as complex as customer-facing applications such as taking an order online.
#For a manufacturer, the supply chain ends: - |when the product is used up and disposed of.
#The use of Web technologies to manage warehousing and transportation processes is called: - |e-logistics
#The e-SCM process that includes integrated production and distribution processes is - |supply chain replenishment.
#The last fifteen orders from a manufacturer to its suppliers range from $100,000 to $8,740,000. This is an example of: - |the bullwhip effect.
#B2B systems which are used for communication, design, planning, information sharing, and information discovery are called: - |collaborative commerce.
#All of the following would be considered c-commerce EXCEPT - |aggregating catalogs on a central server
#RFID can provide immediate, short-term, and long-term value to organizations. An example of immediate value from RFID is when: - |an RFID tag tells inventory control every time a roll of wire moves out of the warehouse and onto the factory floor.
#A major block in the widespread implementation of collaborative commerce is: - |the lack of universally accepted standards.
#Wal-Mart and Levi Strauss collaborate on demand forecasting in order to optimize the flow of materials along the supply chain. This is an example of: - |CPFR.
#The purpose of CPFR is to: - |ensure that members of the supply chain will have the right amount of raw materials and finished goods when they need them
#______________ is a business strategy that enables manufacturers to control and share product-related data as part of product design and development efforts. - |Product lifecycle management
#All of the following are true about product lifecycle management (PLM) EXCEPT: - |The demand for PLM in limited because it does not apply to products that have short life cycles or are complex.
#Today, many business experts agree with each of the following EXCEPT: - |Supply chain integration has reduced the intensity of competition in most industries.
#When planning, designing and implementing integrated supply chain operations, management requires a holistic focus that takes account all of the following primary factors EXCEPT: - |location and revenues
#Software that helps integrate different types of information systems among collaborating companies is called: - |middleware
#Collaborative workflow applications: - |*address project-oriented and collaborative processes
#Software applications that address project management concerns are examples of: - |*collaborations workflow applications.
#Addressing mission-critical, high-volume transaction processes is the goal of: - |*production workflow applications
#The steps required to approve an expense report is an example of: - |*administrative workflow applications.
#_____________ is the transfer of documents and computer files while videoconferencing - |*Data conferencing
#The primary benefits of workflow management systems include all of the following EXCEPT: - |*increased data security.
#When large suppliers or buyers are involved, a workflow system: - |*is needed for both the collaborative efforts and for supply chain and production improvements
#Groupware is appropriate in all of the following situations EXCEPT: - |*For people working on different tasks or projects.
#_______________ means that the communication and collaboration are done in real time - |*Synchronous
#All of the following are types of communication and collaboration done in real time EXCEPT: - |*blogging
#The growth in electronic meeting systems has been driven by all of the following EXCEPT: - |*Shorter cycle times
#The major benefit of group decision support systems is: - |*in conducting virtual meetings |*in conducting virtual meetings
#Corporations are moving their phone systems to __________ to cut costs and boost efficiency. - |VoIP
#All of the following apply to instant video EXCEPT: - |The highest quality approach is to add video cameras to the participants' computers.
#M-commerce transactions and activities require _____________ and _______________ - |hardware and software infrastructures; infrastructure support
#Infrastructures that support the wireless connection are: - |network access points, mobile communications server switches, and cellular transmitters and receivers.
#Components of a wireless infrastructure that support delivery of services over a wireless connection are: - |WAP gateways, GPS locators, and GPS satellites.
#Characteristics of mobile devices that create special requirements that hardware and software designers need to anticipate when designing mobile computing systems include all of the following EXCEPT: - |broad bandwidth
#The exchange of updated information with other computing devices is called: - |synchronization.
#A suite of network protocols designed to enable different kinds of wireless devices is called: - |Wireless Application Protocol.
#The application logic in a handheld PDA, smart phone, Palm or Wintel notebook is called: - |a mobile application user interface.
#__________ enables the determination of the location of an enabled device. - |GPS
#Rick sends a message from a delayed flight to his friend on her cell phone that he will be arriving late. The service that allows the sending and receiving of such short text messages on mobile phones is called - |SMS
#Micropayments are electronic payments: - |that are less than $10.00
#A ___________ is suitable for mobile users who need to make very short-range device-to-device wireless connections within a small space, such as a single room, and most commonly with Bluetooth - |personal area network
#ost WLANs run on a telecommunications standard known as ____________, which is more commonly called ______________ - |IEEE 802.11; Wi-Fi
#The IEEE standard ___________ offers bandwidth transfer rates of 200 to 540 Mbps, which makes it impractical because it exceeds the limits of most broadband connections used by homes and small businesses - |802.11n
#All of the following about wireless wide area networks (WWAN) are true EXCEPT: - |The single WWAN network standard insures compatibility of handsets within and between countries
#The major attributes that enable development of new applications that are possible only in a mobile environment include all of the following EXCEPT: - |Security
#The development of m-commerce is being driven by the following technological, business, social, and economic factors EXCEPT: - |The transition to a manufacturing economy.
