__________ refers to those attributes of a system visible to a programmer. | Computer architecture
11.1-16. "Sufism is not a sect of Islam, like Shiism or Shunnism, but rather the mystical sides of Islam: a personal, experiential approach to Allah, which contrasts with the more prescriptive, doctrinal approach of fundamentalism like the Taliban." What type of evidence is used in this example?|description
11.1-17. The Wings of Freedom tour includes 3 famous World War II vintage airplanes: a B-17 Flying Fortress, a B-24 Liberator, and a North American P-51. What type of evidence is used in this example?|. example
11.1-18. "Horsepower is a unit for measuring the power of engines roughly equal to 746 watts or 33,000 foot-pounds per minute. " What type of evidence is used in this example?|definition
11.1-19. The president and chief executive of a virtual web space in which users can share comments claims that "The best innovations occur when you have networks of people with diverse backgrounds gathering around a problem." What type of evidence is used in this example?|opinion
11.1-20. "According to NORML (National Organization to Reform Marijuana Laws), marijuana is a harmless drug that has no long-term side effects." What criticism should be made about this piece of evidence?|. It's biased.
11.1-21. "According to a 1984 article in the Midland Times Herald, gang activity is not a significant problem in the community." What criticism should be made about this piece of evidence?|. It's not recent.
11.1-22. Paulo survived a car crash without any major injury while not wearing a seatbelt. If he uses this example to prove that seatbelts are not needed, he has failed to test his evidence for|. consistency.
11.1-23. You should ask all of the following questions when trying to determine the objectivity or accuracy of evidence from an internet source EXCEPT|Do you agree with the source's claims and point of view?
11.1-24. "Sex education in schools promotes teenage promiscuity." This statement is an example of a claim of|. fact.
11.1-25. "Our town should enact a curfew for all juveniles." This statement is an example of|. policy.
11.1-26. "Our group is the best in the class." This statement is an example of a claim of|value.
11.1-27. When presenting an argument, in which order should you use the following steps?|. state your claim, support your claim, provide reasons, summarize your argument
11.1-28. The act of proving an argument either erroneous or false, or both, is defined as|refutation.
11.1-29. What are the first 4 steps in refuting an argument?|listen to the argument, assess the evidence, state the claim you oppose, give an overview of your objections
11.1-30. Which step in refuting an argument would be characterized by a statement such as "I don't support the increase in student activity fees for 2 reasons: the college just raised tuition 5%, and the poor economy has stressed many students and their parents to the limit"?|preview your objections
11.1-31. "My opponent says we can lower taxes. He can't be believed or trusted. Ten years ago, he admitted to being an alcoholic. ?What fallacy is being committed in this statement?|. ad hominem attack
11.1-32. Some group members have suggested that the company sponsor an annual picnic rather than a more formal annual dinner. John disagrees with the others because the company has held a formal dinner every year for more than 10 years. Which fallacy of argument could be attributed to John's comment?|appeal to tradition
11.1-33. "My uncle's visit to New Mexico was horrible. The weather was bad and the people were unfriendly. New Mexico is not a good choice for a vacation." What fallacy is being committed in this statement?|hasty generalization
11.1-34. "Everyone in our group has signing the petition. You should, too." What fallacy is being committed in this statement?|appeal to popularity
11.1-35. "I knew I wouldn't win the lottery because a black cat crossed my path right after I bought the ticket." What fallacy is being committed in this statement?|faulty cause

11.1-36. "If lawyers develop their cases with help from other lawyers, why can't I write my
term paper with help from other students?" What fallacy is being committed in this statement?|faulty analogy
11.1-37. "Don't go to that restaurant. I went once, and the service was awful." What fallacy is being committed in this statement?|. hasty generalization
11.1-38. According to your textbook, one of the most significant cultural differences in
argumentation is the way in which people use evidence to support a claim. In
which of the following cultures is physical evidence often rejected because no
connection is seen between the physical world and human actions?|Chinese culture
11.1-39. According to Rybacki and Rybacki, the reasoning responsibility requires that ethical group members| avoid making arguments containing fallacies.
11.1-40. According to Rybacki and Rybacki, the social code responsibility requires that ethical group members|. treat other group members as equals.
11.1-41. Emotional intelligence can benefit a group engaged in argumentation because members will strive to|. all of the above
11.1-42. All of the following traits are characteristic of emotional intelligence EXCEPT|self-assertion.
11.2-1. Critical thinking is a process that always results in an outcome.|True
11.2-2. An argument and an opinion are essentially the same concept.|False
11.2-3. An argument is an idea or opinion supported by evidence and reasoning.|True
11.2-4. Argumentation can improve decision making.|. True
11.2-5. Arguing in groups is always disruptive and should be avoided.|False
11.2-6. Highly argumentative group members enjoy the challenge of a good argument and
are eager to defend their points of view with confidence.|True
11.2-7. Highly argumentative members dislike having their positions challenged.|False
11.2-8. Highly argumentative members create more arguments on both sides of a position, which helps a group avoid groupthink.|True
11.2-9. The 3 essential components in the Toulmin Model of Argument are the claim, evidence, and warrant.|True
11.2-10. Rather than asking "How did you get there?" a warrant asks "What have you got to go on?"|. False
11.2-11. In the Toulmin Model of Argument, the qualifier states the degree to which the claim appears to be true.|. True

11.2-12. In the Toulmin Model of Argument, backing refers to exceptions to an argument that may invalidate the claim.|False
11.2-13. As a form of evidence, a fact is a statement that evaluates an event, idea, person, or object.|False
11.2-14. "Robert's Rules of Order is used by the majority of groups that follow the rules of parliamentary procedure" is an example of a fact.|. True
11.2-15. "Leadership is the ability to make strategic decisions and use communication
effectively to mobilize group members toward achieving a common goal" is an example of an opinion.|False
11.2-16. "A claim of value evaluates whether something is good or bad, right or wrong, worthwhile or worthless" is an example of a definition.|True
11.2-17. "In one study, workers rate 69% of the meetings they attended as ineffective" is an example of statistics used as evidence.|True
11.2-18. Whereas an example refers to a specific case or instance, illustrations are longer, extended examples.|True
11.2-19. The question "Is the information recent?" is the test for explaining why The New York Times is a more valid source than the National Enquirer.|. False
11.2-20. Questions such as "Are the author's identify and qualifications evident?" and "Does the site account for opposing points of view?? can help you determine the validity of internet research.|True
11.2-21. "The Volvo is the best family vehicle in the market" is a claim of fact.|False
11.2-22. "You should floss your teach every morning and every night before you go to sleep" is a claim of policy.|. True
11.2-23. When presenting an argument, you should state your claim, support your claim with evidence, and provide reasons why your evidence supports your claim.|True
11.2-24. When you provide reasons why your evidence supports your claim in an argument, you are explaining the argument's warrant.|True
11.2-25. Refutation is the process of presenting an argument's claim, evidence, and warrant.|. False
11.2-26. When refuting an argument, make sure you have assessed whether the argument's evidence supports the claim or is faulty.|True
11.2-27. The faulty cause fallacy is the basis for many superstitions.|True
11.2-28. The following fallacy is an example of appeal to tradition: "Who are you to
support our troops? As I recall, you were arrested at an anti-war demonstration in the early 1970s."|False
11.2-29. The ad hominem fallacy involves attacking a person rather than the substance of that person's argument.|True
11.2-30. The following fallacy is an example of a faulty analogy: "Last semester I had an
excellent student whose last name was Whipple. This semester I have another student by that name, and I'm expecting good work from her."|True
11.2-31. The following fallacy is an example of an appeal to popularity: "Everybody I've talked to on my street intends to vote for Ms. Kullen. I'm sure she'll win."|False
11.2-32. An appeal to tradition is a fallacy that justifies an action because many others do the same thing or share the same opinion.|. False
11.2-33. Men are more likely than women to use evidence in arguments.|False
11.2-34. In general, women tend to search out more different perspectives in argument than do men.|True
11.2-35. During the course of an argument, men are much more likely to search out many different perspectives on a subject as well as ask questions.|False
11.2-36. One of the most significant cultural differences in argumentation is the way people use evidence to support a claim.|True
11.2-37. Rybacki and Rybacki's 4 ethical responsibilities in argumentation focus on claims of fact, conjecture, value, and policy.|False
11.2-38. When ethical arguers look beyond their own needs and consider the circumstances of others, they are demonstrating the common good responsibility for ethical argumentation.|True
11.2-39. In effective arguments, group members should use logical reasoning rather than engaging emotional intelligence to make effective decisions.|. False
11.2-40. Researchers such as Daniel Goleman and Antonio Damasio claim that feelings and emotions are indispensable for rational decision making.|True
11.2-41. Self-awareness, self-regulation, self-confidence, and self-control characterize emotional intelligence.|True
11.2-42. Self-concept, self-disclosure, self-assertion, and selflessness characterize emotional intelligence.|False
12.1-1. Which of the following reasons is sound justification for scheduling or attending a group meeting?|Group input and interaction are critical.
12.1-2. Which two group dialectics are particularly relevant when planning and conducting meetings?|structure ? spontaneity and leadership ? followership
12.1-3. Which of the following answers depicts the 3 elements of a meeting described in the textbook?|structure, schedule, chairperson
12.1-4. The meeting planning questions in your textbook include all of the following EXCEPT|How should we write the agenda?

12.1-5. All of the following criteria should be considered when determining who should be invited to a meeting EXCEPT|individuals who are uninvolved in the issues scheduled for discussion.
12.1-6. _______________ is the outline of items to be discussed and the tasks to be accomplished at a meeting.|An agenda
12.1-7. At what point in the agenda does a chairperson officially begin a meeting?|at the call to order
12.1-8. The Committee to Save the Park began a discussion of plans to organize a park clean-up day. There was not enough time during the meeting to finish the
discussion. In what part of the agenda for the next meeting should this issue appear?|unfinished business
12.1-9. At what point in a business meeting should group members approve the agenda and minutes?|right after the call to order
12.1-10. According to the guidelines presented in the textbook, when is the best time to address important and difficult issues?|during the middle portion of the meeting
12.1-11. The elections committee of the Student Government Council is making preparations for the up coming campus elections. During what part of the agendashould the elections committee chairperson report on the status of the committee's work?|. reports from individuals and subcommittees
12.1-12. The chairperson of a meeting should|do all of the above.
12.1-13. The person appointed or elected to conduct a meeting is the|chairperson.
12.1-14. In order to keep a meeting moving at a comfortable pace, the chairperson should|begin on time without waiting for latecomers.
12.1-15. Your textbook suggests all of the following strategies for keeping a meeting moving at a comfortable pace EXCEPT|. Do not begin the meeting until all the important group members are present.
12.1-16. When members are late to a meeting, the chairperson should|let latecomers sit without participating until they have observed enough to be able to contribute.
12.1-17. All of the following labels represent how member behavior can disrupt a meeting EXCEPT|tension releaser.
12.1-18. What does your textbook suggest a group can do to curb the disruptive behavior of a loudmouth?|Do any or all of the above.
12.1-19. A sentence such as "Let Debbo finish her point first, and then we'll hear other
viewpoints" can help a group deal with a member whose disruptive behavior fits the description of a|interrupter.
12.1-20. Deborah Duarte and Nancy Snyder point out that "technology cannot make up
for poor planning or ill-conceived meetings. In fact, it can make the situation worse. " In order to avoid such problems in a virtual meeting, you should|. make sure that participants have access to the technology and know how to use it effectively.
12.1-21. The written record of a group's discussion and activities is referred to as|the minutes.
12.1-22. All of the following statements about the minutes of a meeting are true EXCEPT|The minutes should be a word-for-word record of everything that members say.
12.1-23. All of the following guiding principles form the basis for parliamentary procedure EXCEPT|The group uses a 2/3 vote to ensure that the majority rules.
12.1-24. Complexity Theory helps explain|. why groups need to balance dialectic tensions.
12.2-1. If there is nothing important to talk about, a meeting can do more harm than good.|True
12.2-2. A coincidental gathering of group members does not constitute a meeting.|True
12.2-3. The chairperson of a meeting is always the group's leader.|False
12.2-4. A chairperson's job is complete when a meeting adjourns.|False
12.2-5. One study concluded that "there is a direct correlation between time spent each week in meetings and an employee's desire to find another job. "|True
12.2-6. Questions such as "Is an immediate decision needed?" and "Are members prepared to discuss the topic?" should be asked when determining the Meeting Planning Question "Why are we meeting?"|. True
12.2-7. In general, the optimal meeting length is one hour.|True
12.2-8. All meetings follow the traditional sequence of business agenda items.|False
12.2-9. After group members approve a business meeting's agenda and minutes, the next step is to take up new business.|False
12.2-10. You should balance the sequence of discussion topics in an agenda by putting important and difficult items at the very beginning of the meeting.|False
12.2-11. A business agenda should include several items including a call to order, approval
of the agenda, reports, unfinished business, and new business.|True
12.2-12. Once the chairperson has prepared an agenda, group members should not request
modifications or additions before or during the meeting.|False
12.2-13. A meeting's official chairperson is responsible for reviewing the minutes,
distributing the minutes of the meeting, and sending any reports that were prepared.|True
12.2-14. If members come late to a scheduled meeting, they should sit without participating
until they have observed enough of the meeting's discussion to contribute responsibly.|True
12.2-15. Effective groups learn how to adapt to member misbehaviors.|True
12.2-16. By looking through a group's minutes over a period of time, you can learn about
the group's activities and measure how productive the group has been.|True
12.2-17. The person assigned as a meeting recorder should make sure to word decisions,
motions, action items, and deadlines exactly as the group makes them.|True
12.2-18. The person assigned as a meeting recorder is responsible for reviewing the
minutes, distributing the minutes of the meeting, and sending any reports that were prepared.|False
12.2-19. The person assigned as a meeting recorder can leave some members' comments
"off the record" if the group decides that the comments are irrelevant or inappropriate.|True
12.2-20. Robert's Rules of Order is considered the "parliamentary bible" by many organizations.|True
12.2-21. Regardless of the complexity or importance of an issue, parliamentary rules state that a group must accepts the will of the majority even if the majority wins by only 1 vote.|. True
13.1-1. Which key element of presentation speaking is represented by the guiding principle "enhance your believability"?|credibility
13.1-2. Which key element of presentation speaking is represented by the guiding principle "select appropriate ideas and information"?|content
13.1-3. What question should you ask when determining a presentation's purpose?|What do you want listeners to know, think, believe, or do as a result of your presentation?
13.1-4. Which of the following items will a speaker examine when analyzing the demographic traits of an audience or group of listeners?|gender
13.1-5. Which of the following items will a speaker examine when analyzing the individual attributes of an audience or group of listeners?|job titles
13.1-6. When you identify a belief or value that you share with audience members who disagree, you have found a basis for|common ground.
13.1-7. All of the following answers constitute an aspect of an audience's demographics EXCEPT|knowledge.

13.1-8. If, when analyzing your listeners' opinions, you discover that most of them disagree with you, which of the following strategies would be most successful in adapting to or changing their attitudes?|Make sure the goal of your presentation is realistic.
13.1-9. If, at the end of your presentation, listeners conclude that you lack expertise on the subject and that they have reason to question your honesty and sincerity, you have failed to devote enough attention to|credibility.
13.1-10. The textbook identifies 3 major factors that contribute to a speaker's credibility. What are they?|competence, character, and caring
13.1-11. Aristotle's concept of ethos has evolved into what communication scholars now call|credibility.
13.1-12. "What is the size and shape of the room? Do I need a microphone? Will I make the presentation in the morning or afternoon? What is my time limit?" Which oral presentation guideline is addressed by these questions?|logistics
13.1-13. Regardless of whether you have 5 minutes or 1 hour for your presentation, do not add more than _____% to your allotted time.|5
13.1-14. Which organizational pattern would probably be most effective for a presentation
designed to explain a company's hiring procedures step by step?|time arrangement
13.1-15. Which organizational pattern would probably be most effective for a presentation that explains why trash recycling is needed and how the community can implement a more effective recycling program?|. problem-solution
13.1-16. Which organizational pattern would probably be most effective for a presentation describing the hardships experienced by undocumented workers who do not seek medical care when they are very ill?|causes and effects
13.1-17. Which organizational pattern would probably be most effective for a presentation assessing the merits of 2 political candidates?|compare and contrast
13.1-18. Which organizational pattern would probably be most effective for a presentation examining 6 school systems and how public school funding varies based on the location and wealth of each school system's community?|space arrangement
13.1-19. An effective outline for a presentation should include|all of the above.
13.1-20. _____________ is the most common form of presentation delivery.|Extemporaneous speaking
13.1-21. In general, the best rate for presentation speaking is _________ words per minute.|140?180
13.1-22. According to your textbook, which of the following answers is the most important physical characteristic in a presentation?|eye contact
13.1-23. In a presentation to the county council, a group consisting of the parent of a disabled child, the director of the local disabilities commission, the school superintendent, and a disabled adult working at a local grocery store are given a total of 20 minutes to present and justify their request for better quality disability services. This presentation is an example of|a team presentation.

13.1-24. Which element of presentation speaking is represented by the following guideline for a team presentation: "Practice until the team presentation approaches perfection"?|performance
13.1-25. All of the following answers are guidelines for handling a question-and-answer session after an individual or team presentation EXCEPT |Provide the most comprehensive answer possible.
13.1-26. Your book makes 2 recommendations to help you "exercise restraint? when designing presentation slides. One of those recommendations is|make only 1 point on each slide.
13.1-27. Your textbook makes 2 recommendations to help you "exercise restraint" when designing presentation slides. One of those recommendations is|follow the 6-by-6 rule.
13.1-28. Edward Tufte, a well-respected graphic designer, criticizes PowerPoint because |it disrupts, dominates, and trivializes content.
13.1-29. When displaying presentation aids, which of the following delivery techniques should you use when presenting a set of slides?|Display the slide, and then explain the point.
13.2-1. Group presentations include those you give to group members in the group's meeting and those you give to a nongroup audience on behalf of your group.|True
13.2-2. The key elements of presentation speaking are purpose, audience, credibility, logistics, content, organization, and performance.|True
13.2-3. Selecting appropriate content is the first and most important step in developing a successful presentation.|False
13.2-4. A presentation's purpose answers the question "What do I want my listeners to know, think, believe, or do as a result of my presentation?"|True
13.2-5. A presentation's purpose answers the question "How can I connect with my audience and enhance my believability?"|False
13.2-6. Demographic traits include age, gender, race, ethnicity, religion, and marital status.|True
13.2-7. The individual attributes of audience members include age, gender, ethnicity, religion, and marital status.|False
13.2-8. If most of your listeners agree with you or are undecided, focus on introducing new information or summarizing important idea and arguments.|True
13.2-9. If most of your listeners disagree with you, focus on introducing new information and summarizing important ideas and arguments.|False
13.2-10. When trying to find common ground with listeners, find a belief or value that you share with those who disagree with you.|True
13.2-11. If most of your listeners disagree with you, make sure you have set realistic goals for your presentation.|True
13.2-12. If your listeners agree with you or are undecided, the 2 best strategies to use are finding common ground and setting modest, realistic goals.|False
13.2-13. Your credibility as a speaker represents the extent to which listeners believe you and the things you say.|True
13.2-14. According to researchers, the 3 components of speaker credibility are likability, attractiveness, and immediacy.|False
13.2-15. Aristotle's concept of ethos has evolved into what we now call speaker content.|False
13.2-16. If you are not a recognized expert on a subject, you should try to demonstrate that you are well-prepared to address the subject.|True
13.2-17. A presentation's logistics refers to the strategic planning, arranging, and use of people, facilities, time, and materials relevant to your presentation.|True
13.2-18. An effective presentation on how to fill out a social security application should use time arrangement as an organizational pattern.|True
13.2-19. An effective presentation that focuses on explaining why global warming increased significantly in the 20th century should use a causes and effects organizational pattern.|True
13.2-20. An effective presentation that summarizes the arguments used by those who support and oppose the teaching of evolution in public schools should use a problem-solution organizational pattern.|. False
13.2-21. An effective presentation that informs an audience about ways to prevent children from being exposed to the dangers of online pornography should use a problemsolution organizational pattern.|True
13.2-22. If 1 of the main points in your presentation is not as strong as 2 others, place it in the middle position of your presentation outline.|True
13.2-23. Extemporaneous speaking involves using an outline or a set of notes to guide you through your presentation.|True
13.2-24. Impromptu speaking is a form of delivery in which a speaker does not have time to prepare or practice a presentation in advance.|True
13.2-25. Reading from the script of your presentation ensures that your presentation will be accurate and well received by your audience.|False
13.2-26. The most tolerable and useful all-purpose rate of presentation speaking is 180?250 words per minute.|False
13.2-27. The only kind of eye contact that successfully establishes the feeling of connection with audience members is a reasonably long, in-focus look at individual listeners.|True
13.2-28. In audioconferences, you must rely on your voice to communicate your meaning and emotions.|True
13.2-29. As is the case with individual presentations, an effective team presentation should follow the 7 elements and guiding principles of presentation speaking.|True
13.2-30. Team presentations save time, effort, and money for those preparing and making the presentation.|False
13.2-31. When answering questions in a question-and-answer session, a speaker should be brief, honest, and specific.|True
13.2-32. If you want to make sure that audience members participate in a question-andanswer session, begin each session with the following question: "Are there any questions?"|False

13.2-33. If, despite your best efforts, you don't get any questions in a question-and-answer session, be prepared with some of your own.|True
13.2-34. The 6-by-6 rule says you should not display more than 6 computer-generated slides in 6 minutes of speaking time.|False
13.2-35. Do not use more than 2 different fonts on a single slide.|True
13.2-36. When preparing computer slides, avoid type that is smaller than 24 points.|True
13.2-37. In general, avoid using a variety of background sound effects or music when supporting your presentation with computer-generated slides.|True
13.2-38. The use of PowerPoint to create presentation slides has been criticized because it is less interesting than a live speaker.|False
13.2-39. The use of PowerPoint to create presentation slides has been criticized because it often dominates and trivializes content.|True
13.2-40. A survey of college students about the ways in which their professors use PowerPoint found that many professors cram slides with text and then recite the text during class.|True
13.2-41. Paper handouts cannot show text, numbers, data, graphics, and images more effectively than slides can.|False
13.2-42. As a back-up plan, you should always be prepared to make a presentation without your presentation aids.|True
14.1-1. Which country is the most wired nation on the planet?|. South Korea
14.1-2. A study by Staples and Webster identifies several "best practices" that can significantly improve group performance and member satisfaction in virtual groups. Which of the following answers is NOT one of their best practices?|We have members who prefer to work in virtual groups rather than in faceto-face meetings.
14.1-3. Media Rich Theory claims that|face-to-face group communication is often the most successful because it is the richest communication medium.

14.1-4. Computer conferences that occur simultaneously in real time are examples of|synchronous communication.
14.1-5. Email is an example of|asynchronous communication.
14.1-6. Which of the following answers describes a characteristic of asynchronous communication?|all of the above
14.1-7. Which of the following statements best explains an advantage of synchronous communication?|. There is more spontaneous and dynamic interaction.
14.1-8. Which group dialectic is represented in Patricia Wallace's concept of group polarization?|conformity ? nonconformity
14.1-9. Group polarization often intensifies in virtual groups because|there are fewer nonverbal cues to moderate members' opinions and behavior.
14.1-10. Some group members find it easier, more comfortable, and safer expressing disapproval and disagreement online than in face-to-face situations. Which group dialectic is represented in this aspect of virtual groups?|conflict ? cohesion
14.1-11. A _______________ is a coordinated phone call among 3 or more group members.|audioconference

14.1-12. Which of the following guidelines will help you conduct and participate in an effective audioconference?|Distribute the minutes of the meeting as soon as possible.
14.1-13. Which of the following consequences is a drawback of audioconferencing?|all of the above
14.1-14. Which of the following answers describes 1 of the many advantages of using audioconferences as a medium for virtual group work? Audioconferences|use telephones to which most members have easy access.
14.1-15. All of the following statements represent disadvantages to using audioconferences EXCEPT|They are less expensive than videoconferences.
14.1-16. Which of the following answers is NOT an essential guideline for conducting and participating in an effective videoconference?|Dress appropriately.
14.1-17. Which of the following answers is a disadvantage of using videoconferences to conduct group meetings?|They are not effective for collecting data and detailed planning.
14.1-18. Which of the following answers is NOT an advantage of using textconferencing for virtual group communication?|It reduces nonverbal influences.
14.1-19. A study by Graetz and his colleagues concludes that group members using textonly communication|experience all of the above.
14.1-20. All of the following statements represent disadvantages to using text conferences EXCEPT|They can limit participation by highly talkative members.
14.1-21. According to your textbook, software and hardware that provide group members with the ability to generate and evaluate ideas, make decisions, and use different voting procedures are known as|electronic meeting systems.
14.1-22. Duarte and Snyder recommend a set of best practices for making electronic meeting system conferences more effective. Which of the following answers in NOT a best practice for this type of group meeting?|Make sure everyone in the group has a turn facilitating the meeting to keep the group moving through the agenda.
14.1-23. Which of the following answers is NOT an advantage of using electronic meeting systems?|They require very little technical training and assistance.
14.1-24. Which of the following answers is NOT an advantage of using electronic meeting systems to conduct group work?|They require training, facilitation, and technical support.
14.1-25. When engaging in a virtual group meeting via email, you should|use correct grammatical form.
14.1-26. Dr. Ivan Goldberg lightheartedly posted a diagnosis for _______________, which he described as a maladaptive pattern of internet use leading to clinically significant impairment or distress.|internet addiction disorder
14.1-27. Which of the following types of member behaviors are unique in causing problems for groups using email to conduct business?|lurkers and loafers
14.1-28. Threaded discussions are characteristics of virtual groups using|bulletin boards.
14.1-29. Which of the following answers is an advantage of using bulletin boards to conduct virtual meetings?|They are effective for brainstorming and information sharing.
14.1-30. The digital divide refers to|inequalities in access to, distribution of, and use of information technology between 2 or more populations.
14.1-31. In assessing the value and validity of Wikipedia, a study in the journal Nature found Wikipedia's content more ______ and equal in _______ to the prestigious Encyclopedia Britannica.|. current . . . accuracy
14.1-32. A study by the American Association of University Women found that, in general,|girls consistently rate themselves lower on computer ability than boys do.
14.1-33. Dr. Ramon C. Barquin published a "Ten Commandments for Computer Ethics." All of the following commandments are included in his list EXCEPT|Thou shalt not express controversial opinions that could distress or offend others.
14.2-1. Researchers have discovered that more than 2/3 of the U.S. workers they've surveyed engage in virtual work, and nearly 1/2 are involved in virtual group work at least once a week.|True
14.2-2. Preparing an agenda for a virtual group meeting is just as important as preparing an agenda for a face-to-face meeting.|True
14.2-3. When tasks are complex, computer-mediated groups usually perform better than face-to-face groups.|False
14.2-4. In general, computer-mediated group discussions are less efficient than face-to-face groups.|True
14.2-5. Media Richness Theory contends that virtual groups are more successful because they can see and respond instantly to feedback and use a natural speaking/writing style.|False
14.2-6. Media Richness Theory claims that when you use more communication channels, you will be more successful communicating with others.|True
14.2-7. Media Synchronicity Theory claims that the key to using media effectively is to match the media's characteristics to the kind of communication required to perform the task.|True
14.2-8. Media Synchronicity Theory was developed before and led to Media Richness Theory.|False
14.2-9. Group polarization is more common in virtual groups because there are fewer nonverbal cues to moderate opinions and behavior.|True
14.2-10. Virtual groupthink describes the tendency of group members to express more extreme opinions and take more extreme actions.|False
14.2-11. When group members use computers to interact simultaneously in real time, they are engaged in synchronous communication.|True
14.2-12. Virtual groups always communicate asynchronously.|False
14.2-13. Emails and bulletin boards are examples of asynchronous communication media.|True
14.2-14. The disadvantages of asynchronous communication include lack of spontaneity and a reliance on linear rather than interactive communication.|True
14.2-15. Audioconferences take 3 basic forms: conferences calls, computer-based voice links, and teleconferences.|False
14.2-16. In general, effective audioconferences should limit participation to no more than 5 active participants and provide members an agenda well in advance.|True
14.2-17. 2 of the primary advantages of audioconferences are that they are easy to set up and use and are effective for reaching members in emergencies.|True
14.2-18. 2 of the primary disadvantages of audioconferences are that they are ineffective for brainstorming and frustrate members who need to talk through ideas and debate issues.|False
14.2-19. Preparation for a videoconference is the same as it would be for a face-to-face meeting.|False
14.2-20. When you talk to participants at other sites in a videoconference, look directly at the camera, not at other members' images on a television monitor.|True
14.2-21. In general, videoconferences are NOT effective for collecting and sharing data, collaborative decision making, or negotiating interpersonal problems.|False

14.2-22. Videoconferences are expensive, but save travel and lodging costs as well as travel time for members.|True
14.2-23. Compared to face-to-face interaction and teleconferences, textconferences save time and money.|True
14.2-24. Textconferences are effective for collaborative decision making and resolving interpersonal problems.|False
14.2-25. A significant reliance on netlingo and netspeak can make reading a text message difficult and annoying as well as making you and your writing appear immature.|True
14.2-26. Electronic meeting systems are very effective for brainstorming, problem solving, decision making, editing documents, and voting.|True
14.2-27. Electronic meeting systems are very expensive because they require special facilities, hardware, software, and staff support.|True
14.2-28. A computer-based electronic whiteboard allows members to work on the same document synchronously.|True
14.2-29. Psychiatrist Ivan Goldberg proposed a diagnosis of Internet Addiction Disorder (IAD) as a joke.|True
14.2-30. People who have Internet Addiction Disorder often lie about or conceal the amount of time they spend on the internet.|True
14.2-31. In order to maximize communication effectiveness when using email to conduct a virtual group meeting, members should observe good grammatical forms (correct spelling, grammar, formatting, capitalization, etc. ).|True
14.2-32. Email discussions are effective for brainstorming, debating issues, making difficult decisions, and solving complex problems.|False
14.2-33. Like email, a bulletin board is a synchronous text-based communication medium.|. False
14.2-34. A blog is a website in which text, images, web links, and other files are posted on a regular basis.|True
14.2-35. An expert-led investigation by the magazine Nature found that the web-based Wikipedia's content is more current than and just as accurate as the prestigious Encyclopedia Britannica.|True
14.2-36. An expert-led investigation by the magazine Nature found that the web-based Wikipedia's content was less current and more inaccurate than the prestigious Encyclopedia Britannica.|False
14.2-37. The digital divide refers to inequalities in access to and technical abilities related to computer-mediated communication.|True
14.2-38. A U.S. government survey found that urban households earning more than $75,000 a year are 20 times as likely to have home internet access as rural households at the lowest income levels.|True
14.2-39. Software programs and gaming often reinforce gender bias and stereotyped gender roles in computer use.|True
14.2-40. Dr. Ramon Barquin's "Ten Commandments for Computer Ethics" urges computer users to respect the copyrights on content and images held by others.|True
15.1-1. _______________ is a systematic method used by groups to determine the majority's will.|Parliamentary procedure
15.1-2. The rules governing how an organization operates are often included in the organization's constitution or|bylaws.
15.1-3. Which of the following organizations is/are likely to use parliamentary procedure when conducting official business?|all of the above
15.1-4. Parliamentary procedure should be used when|Parliamentary procedure should be used for all of the above reasons.
15.1-5. All of the following rules apply when using parliamentary procedure EXCEPT|Several subjects may be discussed at the same time.
15.1-6. A group may decide it does not need to use parliamentary procedure when|the group faces little controversy.
15.1-7. All of the following statements express a guiding principle of parliamentary procedure EXCEPT|The group grants individual members special privileges and speaking opportunities when an issue is controversial.
15.1-8. What percent of group members who are eligible to vote must be present to meet the requirement of having a quorum in order to conduct official business?|Any of the above may be acceptable, depending on the group's bylaws.
15.1-9. A quorum is|the minimum number of members who must be present for the group to transact business.
15.1-10. Who is ultimately responsible for making sure that the rules of parliamentary procedure are enforced in a group meeting?|chair
15.1-11. If you are the chair of a parliamentary session and are also the group leader or an association officer, you should only vote|to make or break a tie.
15.1-12. A parliamentarian|. must have a thorough knowledge of parliamentary procedure.
15.1-13. In a group using parliamentary procedure, who is responsible for taking the minutes and providing a record of the results of all votes?|clerk
15.1-14. How should a motion be introduced?|"I move that . . ."
15.1-15. If a group member is recognized by the chair of a meeting and says "I move that we change our annual meeting to November rather than December," the member is|making a main motion.
15.1-16. If a group member is recognized by the chair of a meeting and says "I move that we close debate and move immediately to a vote," the member is|. moving the previous question.
15.1-17. If a group member is recognized by the chair of a meeting and says, "This motion is out of order because we must vote on the amendment before we vote on themain motion," the member is|raising a point of order.
15.1-18. The first step in making a main motion is to|obtain the floor.
15.1-19. Most parliamentary motions are given a precedence, an order in which they mustbe considered. Which of the following motions must be considered before theothers listed below?|adjourn
15.1-20. Most parliamentary motions are given a precedence, an order in which they mustbe considered. Which of the following motions must be considered before theothers listed below?|question of privilege
15.1-21. A main motion|. is one of the lowest ranked motions in terms of precedence.
15.1-22. The members of a relatively large group using parliamentary procedure arehaving difficulty seeing and hearing when members speak. Ricky wants to suggestthat speakers stand up and speak louder. What type of motion shouldRicky make?|question of privilege
15.1-23. In parliamentary procedure, the previous question motion means|end debate vote on the motion.
15.1-24. If a member wants to suggest that the group end debate on an issue and voteimmediately, what type of motion should be made?|move the previous question
15.1-25. All of the following motions may be amended EXCEPT|to recess.
15.1-26. Which motion allows one to interrupt the speaker|question of privilege
